,c_a,unit,scp,station,line_name,division,date,time,description,entries,exits
0,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-22T00:00:00.000,23:00:00,REGULAR,6455787,2184977
1,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-22T00:00:00.000,19:00:00,REGULAR,6455505,2184926
2,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-22T00:00:00.000,15:00:00,REGULAR,6454819,2184867
3,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-22T00:00:00.000,11:00:00,REGULAR,6454437,2184773
4,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-22T00:00:00.000,07:00:00,REGULAR,6454285,2184501
5,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-22T00:00:00.000,03:00:00,REGULAR,6454273,2184470
6,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-21T00:00:00.000,23:00:00,REGULAR,6454220,2184461
7,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-21T00:00:00.000,19:00:00,REGULAR,6453852,2184433
8,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-21T00:00:00.000,15:00:00,REGULAR,6453049,2184356
9,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-21T00:00:00.000,11:00:00,REGULAR,6452780,2184273
10,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-21T00:00:00.000,07:00:00,REGULAR,6452648,2183961
11,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-21T00:00:00.000,06:41:27,REGULAR,6452644,2183942
12,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-21T00:00:00.000,03:00:00,REGULAR,6452631,2183920
13,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-20T00:00:00.000,23:00:00,REGULAR,6452571,2183913
14,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-20T00:00:00.000,19:00:00,REGULAR,6452242,2183870
15,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-20T00:00:00.000,15:00:00,REGULAR,6451436,2183811
16,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-20T00:00:00.000,11:00:00,REGULAR,6451168,2183739
17,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-20T00:00:00.000,10:06:52,REGULAR,6451135,2183688
18,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-20T00:00:00.000,07:00:00,REGULAR,6451026,2183422
19,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-20T00:00:00.000,03:00:00,REGULAR,6451013,2183390
20,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-19T00:00:00.000,23:00:00,REGULAR,6450964,2183384
21,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-19T00:00:00.000,19:00:00,REGULAR,6450625,2183346
22,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-19T00:00:00.000,15:00:00,REGULAR,6449803,2183272
23,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-19T00:00:00.000,11:00:00,REGULAR,6449576,2183195
24,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-19T00:00:00.000,07:00:00,REGULAR,6449451,2182872
25,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-19T00:00:00.000,03:00:00,REGULAR,6449441,2182842
26,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-18T00:00:00.000,23:00:00,REGULAR,6449415,2182837
27,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-18T00:00:00.000,19:00:00,REGULAR,6449095,2182801
28,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-18T00:00:00.000,15:00:00,REGULAR,6448293,2182735
29,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-18T00:00:00.000,11:00:00,REGULAR,6448042,2182643
30,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-18T00:00:00.000,07:00:00,REGULAR,6447901,2182316
31,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-18T00:00:00.000,03:00:00,REGULAR,6447885,2182274
32,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-17T00:00:00.000,23:00:00,REGULAR,6447857,2182270
33,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-17T00:00:00.000,19:00:00,REGULAR,6447714,2182242
34,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-17T00:00:00.000,15:00:00,REGULAR,6447455,2182192
35,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-17T00:00:00.000,11:00:00,REGULAR,6447283,2182129
36,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-17T00:00:00.000,07:00:00,REGULAR,6447238,2182075
37,A002,R051,02-00-00,59 ST,NQR456W,BMT,2017-12-17T00:00:00.000,03:00:00,REGULAR,6447232,2182063
