"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-01","0.00","0.0","0.0",,"71","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-02","0.53","0.0","0.0",,"68","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-03","0.74","0.0","0.0",,"69","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-04","0.00","0.0","0.0",,"80","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-05","0.00","0.0","0.0",,"85","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-06","0.42","0.0","0.0",,"72","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-07","0.01","0.0","0.0",,"71","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-08","0.00","0.0","0.0",,"71","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-09","0.00","0.0","0.0",,"70","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-10","0.00","0.0","0.0",,"72","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-11","0.00","0.0","0.0",,"76","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-12","0.00","0.0","0.0",,"78","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-13","0.06","0.0","0.0",,"83","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-14","0.02","0.0","0.0",,"81","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-15","0.00","0.0","0.0",,"81","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-16","0.00","0.0","0.0",,"82","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-17","0.00","0.0","0.0",,"81","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-18","0.00","0.0","0.0",,"73","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-19","0.22","0.0","0.0",,"78","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-20","0.00","0.0","0.0",,"79","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-21","0.00","0.0","0.0",,"80","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-22","0.00","0.0","0.0",,"82","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-23","0.00","0.0","0.0",,"87","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-24","0.00","0.0","0.0",,"91","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-25","0.00","0.0","0.0",,"88","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-26","0.00","0.0","0.0",,"84","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-27","0.00","0.0","0.0",,"87","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-28","0.00","0.0","0.0",,"79","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-29","0.00","0.0","0.0",,"68","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09-30","0.00","0.0","0.0",,"66","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-01","0.00","0.0","0.0",,"68","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-02","0.00","0.0","0.0",,"73","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-03","0.00","0.0","0.0",,"71","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-04","0.00","0.0","0.0",,"75","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-05","0.00","0.0","0.0",,"83","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-06","0.00","0.0","0.0",,"82","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-07","0.00","0.0","0.0",,"81","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-08","0.22","0.0","0.0",,"77","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-09","0.26","0.0","0.0",,"77","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-10","0.00","0.0","0.0",,"81","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-11","0.06","0.0","0.0",,"77","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-12","0.07","0.0","0.0",,"64","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-13","0.00","0.0","0.0",,"67","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-14","0.08","0.0","0.0",,"72","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-15","0.00","0.0","0.0",,"74","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-16","0.01","0.0","0.0",,"69","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-17","0.00","0.0","0.0",,"58","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-18","0.00","0.0","0.0",,"72","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-19","0.00","0.0","0.0",,"71","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-20","0.00","0.0","0.0",,"73","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-21","0.00","0.0","0.0",,"78","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-22","0.00","0.0","0.0",,"76","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-23","0.00","0.0","0.0",,"74","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-24","0.20","0.0","0.0",,"74","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-25","0.00","0.0","0.0",,"67","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-26","0.00","0.0","0.0",,"58","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-27","0.00","0.0","0.0",,"62","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-28","0.00","0.0","0.0",,"69","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-29","3.03","0.0","0.0",,"67","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-30","0.25","0.0","0.0",,"61","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10-31","0.00","0.0","0.0",,"57","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-01","0.00","0.0","0.0",,"59","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-02","0.00","0.0","0.0",,"72","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-03","0.00","0.0","0.0",,"74","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-04","0.00","0.0","0.0",,"56","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-05","0.02","0.0","0.0",,"61","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-06","0.01","0.0","0.0",,"66","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-07","0.70","0.0","0.0",,"49","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-08","0.00","0.0","0.0",,"49","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-09","0.00","0.0","0.0",,"55","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-10","0.01","0.0","0.0",,"51","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-11","0.00","0.0","0.0",,"38","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-12","0.00","0.0","0.0",,"46","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-13","0.07","0.0","0.0",,"47","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-14","0.00","0.0","0.0",,"48","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-15","0.00","0.0","0.0",,"51","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-16","0.20","0.0","0.0",,"57","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-17","0.00","0.0","0.0",,"47","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-18","0.10","0.0","0.0",,"56","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-19","0.23","0.0","0.0",,"59","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-20","0.00","0.0","0.0",,"47","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-21","0.00","0.0","0.0",,"58","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-22","0.21","0.0","0.0",,"56","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-23","0.00","0.0","0.0",,"43","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-24","0.00","0.0","0.0",,"50","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-25","0.00","0.0","0.0",,"57","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-26","0.00","0.0","0.0",,"51","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-27","0.00","0.0","0.0",,"51","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-28","0.00","0.0","0.0",,"54","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-29","0.00","0.0","0.0",,"63","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11-30","0.03","0.0","0.0",,"53","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-01","0.00","0.0","0.0",,"52","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-02","0.00","0.0","0.0",,"48","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-03","0.00","0.0","0.0",,"48","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-04","0.00","0.0","0.0",,"51","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-05","0.75","0.0","0.0",,"61","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-06","0.00","0.0","0.0",,"59","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-07","0.00","0.0","0.0",,"44","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-08","0.00","0.0","0.0",,"39","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-09","0.46","4.6","0.0",,"35","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-10","0.00","0.0","3.9",,"39","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-11","0.00","0.0","2.0",,"41","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-12","0.00","0.0","0.0",,"50","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-13","0.00","0.0","0.0",,"31","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-14","0.09","1.2","1.2",,"32","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-15","0.11","1.2","1.2",,"28","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-16","0.00","0.0","2.0",,"39","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-17","0.00","0.0","1.2",,"38","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-18","0.02","0.0","0.0",,"47","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-19","0.00","0.0","0.0",,"55","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-20","0.00","0.0","0.0",,"51","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-21","0.00","0.0","0.0",,"39","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-22","0.00","0.0","0.0",,"50","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-23","0.49","0.0","0.0",,"48","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-24","0.01","0.0","0.0",,"41","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-25","0.23","0.0","0.0",,"38","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-26","0.00","0.0","0.0",,"28","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-27","0.00","0.0","0.0",,"24","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-28","0.00","0.0","0.0",,"18","11"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-29","0.00","0.0","0.0",,"22","11"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-30","0.05","0.7","0.0",,"23","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12-31","0.00","0.0","0.0",,"21","9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-01-01","0.00","0.0","0.0",,"19","7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-01-02","0.00","0.0","0.0",,"26","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-01-03","0.00","0.0","0.0",,"30","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-01-04","0.76","9.8","1.2",,"29","19"
