ServiceDate,Agency,MajorIncidents,4mTo6mTrainDelays,AvgDelayPerLateTrain,NoofTrainsOver15MinsLate,NoofShortTrains,NoOfGradeCrossingIncidents,LIRRLowAdhesionDelays,LIRRM7DoorThresholds
01/01/2022,MNR,7,0.022097728,,,,,,
12/01/2021,MNR,8,0.029804913,,,,,,
11/01/2021,MNR,12,0.052431895,,,,,,
10/01/2021,LIRR,1,0.117,-11.1,51,36,0,37,
10/01/2021,MNR,10,0.040908272,,,,,,
09/01/2021,LIRR,8,0.121,-13.1,143,75,0,0,
09/01/2021,MNR,23,0.057761245,,,,,,
08/01/2021,LIRR,4,0.106,-14.6,107,29,0,3,
08/01/2021,MNR,2,0.021764449,,,,,,
07/01/2021,LIRR,8,0.117,-12.9,122,43,0,2,0
07/01/2021,MNR,7,0.028349945,,,,,,
06/01/2021,LIRR,3,0.128,-12.8,103,63,0,3,0
06/01/2021,MNR,8,0.029969419,,,,,,
05/01/2021,LIRR,4,0.114,-13.1,116,43,0,2,0
05/01/2021,MNR,2,0.025011651,,,,,,
04/01/2021,LIRR,6,0.113,-12.3,87,49,0,2,0
04/01/2021,MNR,1,0.025750395,,,,,,
03/01/2021,LIRR,10,0.12,-12,106,84,0,8,0
03/01/2021,MNR,2,0.016980693,,,,,,
02/01/2021,LIRR,6,0.111,-13.1,115,81,0,11,0
02/01/2021,MNR,4,0.020706346,,,,,,
01/01/2021,LIRR,5,0.095,-13.5,109,83,0,6,0
01/01/2021,MNR,4,0.018841762,,,,,,
12/01/2020,LIRR,13,0.085,-14.6,228,141,0,9,0
12/01/2020,MNR,4,0.021733976,,,,,,
11/01/2020,LIRR,14,0.109,-14.6,216,123,1,115,0
11/01/2020,MNR,6,0.023859181,,,,,,
10/01/2020,LIRR,4,0.11,-12.7,96,130,0,13,0
10/01/2020,MNR,1,0.016732129,,,,,,
09/01/2020,LIRR,5,0.106,-11.9,65,139,0,0,0
09/01/2020,MNR,3,0.012182332,,,,,,
08/01/2020,LIRR,9,0.104,-13.8,171,179,0,19,0
08/01/2020,MNR,21,0.02212752,,,,,,
07/01/2020,LIRR,11,0.108,-12.9,159,137,0,0,0
07/01/2020,MNR,3,0.018817834,,,,,,
06/01/2020,LIRR,5,0.098,-12.3,91,172,0,2,0
06/01/2020,MNR,2,0.014930679,,,,,,
05/01/2020,LIRR,0,0.08,-12.5,41,0,1,3,0
05/01/2020,MNR,0,0.00660132,,,,,,
04/01/2020,LIRR,5,0.066,-12.8,54,0,0,7,0
04/01/2020,MNR,3,0.005908138,,,,,,
03/01/2020,LIRR,14,0.124,-13,208,119,0,2,0
03/01/2020,MNR,6,0.032103678,,,,,,
02/01/2020,LIRR,14,0.162,-10.6,117,144,0,13,0
02/01/2020,MNR,12,0.04573851,,,,,,
01/01/2020,LIRR,23,0.185,-10.1,133,177,0,25,0
01/01/2020,MNR,10,0.041845994,,,,,,
12/01/2019,LIRR,27,0.183,-10.2,163,274,0,74,0
11/01/2019,LIRR,33,0.191,-11.4,281,326,2,258,0
10/01/2019,LIRR,28,0.191,-11.3,250,171,1,116,0
09/01/2019,LIRR,33,0.193,-11.6,338,190,1,6,0
08/01/2019,LIRR,29,0.18,-11.3,219,220,1,6,0
07/01/2019,LIRR,38,,-12.8,426,241,0,31,0
06/01/2019,LIRR,19,,-13.8,355,172,0,19,0
05/01/2019,LIRR,10,,-10.2,94,189,0,11,0
04/01/2019,LIRR,4,,-10.6,124,126,0,5,0
03/01/2019,LIRR,10,,-11.7,151,189,0,13,0
02/01/2019,LIRR,20,,-12,218,256,0,23,0
01/01/2019,LIRR,26,,-12,249,474,0,29,0
12/01/2018,LIRR,27,,-10.2,136,420,1,76,0
11/01/2018,LIRR,44,,-13.1,490,477,0,570,0
10/01/2018,LIRR,22,,-12.31694402,247,219,0,31,0
09/01/2018,LIRR,15,,-10.8,192,191,0,5,1
08/01/2018,LIRR,48,,-14.1,536,385,0,2,0
07/01/2018,LIRR,34,,-11.4,337,294,0,5,0
06/01/2018,LIRR,20,,-12.6,282,253,0,11,0
05/01/2018,LIRR,16,,-11.6,260,205,1,4,1
04/01/2018,LIRR,11,,-10.62444246,138,228,1,11,1
03/01/2018,LIRR,25,,-14.74571587,433,322,3,22,1
02/01/2018,LIRR,17,,-12.66322136,181,226,6,19,1
01/01/2018,LIRR,40,,-15.30158172,808,601,4,30,3
12/01/2017,LIRR,38,,-13.59007833,429,773,0,415,4
11/01/2017,LIRR,28,,-12.7433571,249,175,1,180,0
10/01/2017,LIRR,18,,-11.42091837,180,107,4,44,2
09/01/2017,LIRR,14,,-10.78199835,168,142,0,8,0
08/01/2017,LIRR,10,,-10.99227202,173,116,0,0,1
07/01/2017,LIRR,17,,-11.57247976,232,176,0,11,2
06/01/2017,LIRR,39,,-11.21535581,315,259,0,7,3
05/01/2017,LIRR,34,,-12.27890173,310,198,0,23,1
04/01/2017,LIRR,27,,-11.08323133,234,140,0,2,2
03/01/2017,LIRR,21,,-12.88188976,351,216,1,15,3
02/01/2017,LIRR,17,,-15.74888641,574,172,1,11,6
01/01/2017,LIRR,25,,-12.08058865,227,217,0,37,4
12/01/2016,LIRR,29,,-13.8286429,371,232,,82,
11/01/2016,LIRR,25,,-11.5524968,257,154,,185,
10/01/2016,LIRR,17,,-13.46813031,279,145,,49,
09/01/2016,LIRR,12,,-11.68206522,174,155,,2,
08/01/2016,LIRR,24,,-14.35612181,335,205,,0,
07/01/2016,LIRR,35,,-15.30711423,515,200,,8,
06/01/2016,LIRR,12,,-12.5350371,230,171,,8,
05/01/2016,LIRR,16,,-10.51043643,121,147,,3,
04/01/2016,LIRR,10,,-11.28254581,148,155,,3,
03/01/2016,LIRR,14,,-11.95273109,153,206,,6,
02/01/2016,LIRR,23,,-12.94042891,258,219,,18,
01/01/2016,LIRR,12,,-16.29438543,413,148,,6,
12/01/2015,LIRR,23,,-15.10495868,301,155,,,
11/01/2015,LIRR,25,,-11.18975069,227,195,,,
10/01/2015,LIRR,26,,-12.63600265,263,169,,,
09/01/2015,LIRR,24,,-14.93397941,364,163,,,
08/01/2015,LIRR,23,,-12.32314149,320,212,,,
07/01/2015,LIRR,29,,-12.41510505,322,239,,,
06/01/2015,LIRR,18,,-11.40519106,228,238,,,
05/01/2015,LIRR,22,,-11.40150376,181,183,,,
04/01/2015,LIRR,14,,-11.26207513,179,171,,,
03/01/2015,LIRR,24,,-12.98770711,400,258,,,
02/01/2015,LIRR,39,,-15.05053667,683,310,,,
01/01/2015,LIRR,24,,-13.13593455,381,261,,,
