ServiceDate,DelayCategory,NoofTrains
10/1/2021,3rd Party Operations,24
10/1/2021,Capital Projects,49
10/1/2021,Customers,80
10/1/2021,Engineering (Scheduled),12
10/1/2021,Engineering (Unscheduled),37
10/1/2021,Maintenance of Equipment,58
10/1/2021,Other,16
10/1/2021,Police,72
10/1/2021,Special Events,15
10/1/2021,Transportation,5
10/1/2021,Weather & Environmental,46
9/1/2021,3rd Party Operations,23
9/1/2021,Capital Projects,107
9/1/2021,Customers,105
9/1/2021,Engineering (Scheduled),31
9/1/2021,Engineering (Unscheduled),47
9/1/2021,Maintenance of Equipment,121
9/1/2021,Other,24
9/1/2021,Police,78
9/1/2021,Special Events,49
9/1/2021,Transportation,15
9/1/2021,Weather & Environmental,297
8/1/2021,3rd Party Operations,21
8/1/2021,Capital Projects,38
8/1/2021,Customers,68
8/1/2021,Engineering (Scheduled),24
8/1/2021,Engineering (Unscheduled),97
8/1/2021,Maintenance of Equipment,47
8/1/2021,Other,44
8/1/2021,Police,97
8/1/2021,Special Events,51
8/1/2021,Transportation,19
8/1/2021,Weather & Environmental,22
7/1/2021,3rd Party Operations,45
7/1/2021,Capital Projects,81
7/1/2021,Customers,101
7/1/2021,Engineering (Scheduled),36
7/1/2021,Engineering (Unscheduled),59
7/1/2021,Maintenance of Equipment,87
7/1/2021,Other,41
7/1/2021,Police,56
7/1/2021,Special Events,66
7/1/2021,Transportation,12
7/1/2021,Weather & Environmental,86
6/1/2021,3rd Party Operations,25
6/1/2021,Capital Projects,108
6/1/2021,Customers,106
6/1/2021,Engineering (Scheduled),51
6/1/2021,Engineering (Unscheduled),72
6/1/2021,Maintenance of Equipment,94
6/1/2021,Other,36
6/1/2021,Police,112
6/1/2021,Special Events,28
6/1/2021,Transportation,9
6/1/2021,Weather & Environmental,3
5/1/2021,3rd Party Operations,25
5/1/2021,Capital Projects,113
5/1/2021,Customers,69
5/1/2021,Engineering (Scheduled),39
5/1/2021,Engineering (Unscheduled),72
5/1/2021,Maintenance of Equipment,52
5/1/2021,Other,253
5/1/2021,Police,70
5/1/2021,Special Events,7
5/1/2021,Transportation,7
5/1/2021,Weather & Environmental,12
4/1/2021,3rd Party Operations,21
4/1/2021,Capital Projects,132
4/1/2021,Customers,46
4/1/2021,Engineering (Scheduled),44
4/1/2021,Engineering (Unscheduled),98
4/1/2021,Maintenance of Equipment,70
4/1/2021,Other,63
4/1/2021,Police,99
4/1/2021,Special Events,5
4/1/2021,Transportation,17
4/1/2021,Weather & Environmental,5
3/1/2021,Capital Projects,290
