,Date,total-ridership,agency
0,2/28/2022,2921956,Subways
1,2/27/2022,1404750,Subways
2,2/26/2022,1826845,Subways
3,2/25/2022,2580174,Subways
4,2/24/2022,2864025,Subways
5,2/23/2022,2900361,Subways
6,2/22/2022,2675275,Subways
7,2/21/2022,1945048,Subways
8,2/20/2022,1478642,Subways
9,2/19/2022,1794244,Subways
10,2/18/2022,2959462,Subways
11,2/17/2022,3116483,Subways
12,2/16/2022,3106976,Subways
13,2/15/2022,3037189,Subways
14,2/14/2022,2913628,Subways
15,2/13/2022,1351186,Subways
16,2/12/2022,2028603,Subways
17,2/11/2022,3021042,Subways
18,2/10/2022,3118851,Subways
19,2/9/2022,3095072,Subways
20,2/8/2022,3022902,Subways
21,2/7/2022,2789941,Subways
22,2/6/2022,1325280,Subways
23,2/5/2022,1794615,Subways
24,2/4/2022,2730797,Subways
25,2/3/2022,2919948,Subways
26,2/2/2022,2945982,Subways
27,2/1/2022,2640076,Subways
28,1/31/2022,2580730,Subways
29,1/30/2022,1263710,Subways
30,1/29/2022,1000199,Subways
31,1/28/2022,2708397,Subways
32,1/27/2022,2730250,Subways
33,1/26/2022,2717000,Subways
34,1/25/2022,2706871,Subways
35,1/24/2022,2542015,Subways
36,1/23/2022,1246961,Subways
37,1/22/2022,1585292,Subways
38,1/21/2022,2570529,Subways
39,1/20/2022,2550517,Subways
40,1/19/2022,2647727,Subways
41,1/18/2022,2546425,Subways
42,1/17/2022,1602238,Subways
43,1/16/2022,1166766,Subways
44,1/15/2022,1436125,Subways
45,1/14/2022,2527746,Subways
46,1/13/2022,2529329,Subways
47,1/12/2022,2464248,Subways
48,1/11/2022,2271033,Subways
49,1/10/2022,2352277,Subways
50,1/9/2022,1103682,Subways
51,1/8/2022,1487737,Subways
52,1/7/2022,2125569,Subways
53,1/6/2022,2396085,Subways
54,1/5/2022,2272601,Subways
55,1/4/2022,2294147,Subways
56,1/3/2022,2172744,Subways
57,1/2/2022,1221306,Subways
58,1/1/2022,1029180,Subways
59,12/31/2021,1629859,Subways
60,12/30/2021,2202359,Subways
61,12/29/2021,2171073,Subways
62,12/28/2021,2172791,Subways
63,12/27/2021,2011675,Subways
64,12/26/2021,1286484,Subways
65,12/25/2021,811945,Subways
66,12/24/2021,1577738,Subways
67,12/23/2021,2491489,Subways
68,12/22/2021,2640159,Subways
69,12/21/2021,2703097,Subways
70,12/20/2021,2722430,Subways
71,12/19/2021,1581503,Subways
72,12/18/2021,1882956,Subways
73,12/17/2021,3118492,Subways
74,12/16/2021,3226842,Subways
75,12/15/2021,3249076,Subways
76,12/14/2021,3281294,Subways
77,12/13/2021,3127619,Subways
78,12/12/2021,1831705,Subways
79,12/11/2021,2268556,Subways
80,12/10/2021,3423782,Subways
81,12/9/2021,3440822,Subways
82,12/8/2021,3385675,Subways
83,12/7/2021,3375157,Subways
84,12/6/2021,3142556,Subways
85,12/5/2021,1737545,Subways
86,12/4/2021,2318203,Subways
87,12/3/2021,3380539,Subways
88,12/2/2021,3366133,Subways
89,12/1/2021,3333735,Subways
90,11/30/2021,3214333,Subways
91,11/29/2021,3002707,Subways
92,11/28/2021,1467414,Subways
93,11/27/2021,1882638,Subways
94,11/26/2021,2092977,Subways
95,11/25/2021,1359188,Subways
96,11/24/2021,3091878,Subways
97,11/23/2021,3293785,Subways
98,11/22/2021,3137259,Subways
99,11/21/2021,1676033,Subways
100,11/20/2021,2138098,Subways
101,11/19/2021,3323841,Subways
102,11/18/2021,3419760,Subways
103,11/17/2021,3376522,Subways
104,11/16/2021,3348316,Subways
105,11/15/2021,3117761,Subways
106,11/14/2021,1704908,Subways
107,11/13/2021,2172149,Subways
108,11/12/2021,3164764,Subways
109,11/11/2021,2927728,Subways
110,11/10/2021,3359437,Subways
111,11/9/2021,3287134,Subways
112,11/8/2021,3072454,Subways
113,11/7/2021,1891963,Subways
114,11/6/2021,2198274,Subways
115,11/5/2021,3300207,Subways
116,11/4/2021,3291525,Subways
117,11/3/2021,3301103,Subways
118,11/2/2021,2853901,Subways
119,11/1/2021,3041089,Subways
120,10/31/2021,1748679,Subways
121,10/30/2021,2046487,Subways
122,10/29/2021,3258376,Subways
123,10/28/2021,3373576,Subways
124,10/27/2021,3307634,Subways
125,10/26/2021,2707913,Subways
126,10/25/2021,3001962,Subways
127,10/24/2021,1601835,Subways
128,10/23/2021,2079731,Subways
129,10/22/2021,3232113,Subways
130,10/21/2021,3275195,Subways
131,10/20/2021,3241475,Subways
132,10/19/2021,3185458,Subways
133,10/18/2021,2989693,Subways
134,10/17/2021,1631844,Subways
135,10/16/2021,2044396,Subways
136,10/15/2021,3233854,Subways
137,10/14/2021,3248072,Subways
138,10/13/2021,3164655,Subways
139,10/12/2021,3110171,Subways
140,10/11/2021,2267498,Subways
141,10/10/2021,1499551,Subways
142,10/9/2021,2052746,Subways
143,10/8/2021,3175133,Subways
144,10/7/2021,3198045,Subways
145,10/6/2021,3147958,Subways
146,10/5/2021,3098187,Subways
147,10/4/2021,2870940,Subways
148,10/3/2021,1577642,Subways
149,10/2/2021,2066222,Subways
150,10/1/2021,3169206,Subways
151,9/30/2021,3153965,Subways
152,9/29/2021,3070509,Subways
153,9/28/2021,2934542,Subways
154,9/27/2021,2880083,Subways
155,9/26/2021,1616915,Subways
156,9/25/2021,2132211,Subways
157,9/24/2021,3128041,Subways
158,9/23/2021,3022830,Subways
159,9/22/2021,3027925,Subways
160,9/21/2021,3025310,Subways
161,9/20/2021,2889759,Subways
162,9/19/2021,1598720,Subways
163,9/18/2021,2017430,Subways
164,9/17/2021,3034676,Subways
165,9/16/2021,2539853,Subways
166,9/15/2021,2993744,Subways
167,9/14/2021,3017947,Subways
168,9/13/2021,2858929,Subways
169,9/12/2021,1591655,Subways
170,9/11/2021,1985273,Subways
171,9/10/2021,2845820,Subways
172,9/9/2021,2708091,Subways
173,9/8/2021,2534847,Subways
174,9/7/2021,2238469,Subways
175,9/6/2021,1523354,Subways
176,9/5/2021,1416893,Subways
177,9/4/2021,1779743,Subways
178,9/3/2021,2394842,Subways
179,9/1/2021,2298999,Subways
180,8/31/2021,2537974,Subways
181,8/30/2021,2325695,Subways
182,8/29/2021,1400642,Subways
183,8/28/2021,1661095,Subways
184,8/27/2021,2392602,Subways
185,8/26/2021,2485132,Subways
186,8/25/2021,2503420,Subways
187,8/24/2021,2467406,Subways
188,8/23/2021,2056731,Subways
189,8/22/2021,745800,Subways
190,8/21/2021,1716439,Subways
191,8/20/2021,2460924,Subways
192,8/19/2021,2444495,Subways
193,8/18/2021,2450516,Subways
194,8/17/2021,2432692,Subways
195,8/16/2021,2292396,Subways
196,8/15/2021,1430620,Subways
197,8/14/2021,1718222,Subways
198,8/13/2021,2434624,Subways
199,8/12/2021,2453353,Subways
200,8/11/2021,2480877,Subways
201,8/10/2021,2447231,Subways
202,8/9/2021,2294279,Subways
203,8/8/2021,1333885,Subways
204,8/7/2021,1780458,Subways
205,8/6/2021,2523944,Subways
206,8/5/2021,2534287,Subways
207,8/4/2021,2534018,Subways
208,8/3/2021,2489064,Subways
209,8/2/2021,2338722,Subways
210,8/1/2021,1351294,Subways
211,7/31/2021,1841007,Subways
212,7/30/2021,2562489,Subways
213,7/29/2021,2433507,Subways
214,7/28/2021,2539760,Subways
215,7/27/2021,2493079,Subways
216,7/26/2021,2323169,Subways
217,7/25/2021,1364830,Subways
218,7/24/2021,1852402,Subways
219,7/23/2021,2557043,Subways
220,7/22/2021,2587338,Subways
221,7/21/2021,2509502,Subways
222,7/20/2021,2467017,Subways
223,7/19/2021,2332473,Subways
224,7/18/2021,1405344,Subways
225,7/17/2021,1717480,Subways
226,7/16/2021,2541195,Subways
227,7/15/2021,2586791,Subways
228,7/14/2021,2522633,Subways
229,7/13/2021,2462643,Subways
230,7/12/2021,2249975,Subways
231,7/11/2021,1367403,Subways
232,7/10/2021,1783921,Subways
233,7/9/2021,2322712,Subways
234,7/8/2021,2369035,Subways
235,7/7/2021,2442092,Subways
236,7/6/2021,2306692,Subways
237,7/5/2021,1497714,Subways
238,7/4/2021,1470325,Subways
239,7/3/2021,1543756,Subways
240,7/2/2021,2300302,Subways
241,7/1/2021,2297059,Subways
242,6/30/2021,2350864,Subways
243,6/29/2021,2348456,Subways
244,6/28/2021,2256926,Subways
245,6/27/2021,1561403,Subways
246,6/26/2021,1855861,Subways
247,6/25/2021,2587425,Subways
248,6/24/2021,2557684,Subways
249,6/23/2021,2552443,Subways
250,6/22/2021,2359521,Subways
251,6/21/2021,2268969,Subways
252,6/20/2021,1389352,Subways
253,6/19/2021,1784312,Subways
254,6/18/2021,2576562,Subways
255,6/17/2021,2557486,Subways
256,6/16/2021,2524189,Subways
257,6/15/2021,2474710,Subways
258,6/14/2021,2227391,Subways
259,6/13/2021,1379959,Subways
260,6/12/2021,1775538,Subways
261,6/11/2021,2472629,Subways
262,6/10/2021,2478619,Subways
263,6/9/2021,2390612,Subways
264,6/8/2021,2270152,Subways
265,6/7/2021,2227613,Subways
266,6/6/2021,1363344,Subways
267,6/5/2021,1792204,Subways
268,6/4/2021,2314340,Subways
269,6/3/2021,2238336,Subways
270,6/2/2021,2348517,Subways
271,6/1/2021,2263536,Subways
272,5/31/2021,1391302,Subways
