,division,line,station_name,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,allroutes
0,IND,Rockaway,Far Rockaway-Mott Av,A,X,X,X,X,X,X,X,X,X,X,A
1,IND,Rockaway,Beach 25th St,A,X,X,X,X,X,X,X,X,X,X,A
4,IND,Rockaway,Beach 36th St,A,X,X,X,X,X,X,X,X,X,X,A
8,IND,Rockaway,Beach 44th St,A,X,X,X,X,X,X,X,X,X,X,A
12,IND,Queens Boulevard,Jamaica-179th St,F,X,X,X,X,X,X,X,X,X,X,F
28,IND,Rockaway,Beach 60th St,A,X,X,X,X,X,X,X,X,X,X,A
32,IND,Queens Boulevard,169th St,F,X,X,X,X,X,X,X,X,X,X,F
40,IND,Rockaway,Beach 67th St,A,X,X,X,X,X,X,X,X,X,X,A
44,IND,Archer Av,Parsons Blvd-Archer Av - Jamaica Center,E,J,Z,X,X,X,X,X,X,X,X,"E,J,Z"
54,IND,Queens Boulevard,Parsons Blvd,F,X,X,X,X,X,X,X,X,X,X,F
60,IND,Archer Av,Sutphin Blvd-Archer Av - JFK,E,J,Z,X,X,X,X,X,X,X,X,"E,J,Z"
64,IND,Queens Boulevard,Sutphin Blvd,F,X,X,X,X,X,X,X,X,X,X,F
69,IND,Rockaway,Beach 90th St,H,X,X,X,X,X,X,X,X,X,X,H
73,IND,Rockaway,Broad Channel,A,H,X,X,X,X,X,X,X,X,X,"A,H"
74,IND,Archer Av,Jamaica-Van Wyck,E,X,X,X,X,X,X,X,X,X,X,E
77,IND,Rockaway,Beach 98th St,H,X,X,X,X,X,X,X,X,X,X,H
80,IND,Queens Boulevard,Briarwood-Van Wyck Blvd,F,X,X,X,X,X,X,X,X,X,X,F
83,IND,Liberty,Lefferts Blvd,A,X,X,X,X,X,X,X,X,X,X,A
87,IND,Rockaway,Beach 105th St,H,X,X,X,X,X,X,X,X,X,X,H
91,IRT,Pelham,Pelham Bay Park,6,X,X,X,X,X,X,X,X,X,X,6
96,BMT,Broadway Jamaica,121st St,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
100,IRT,Flushing,Flushing-Main St,7,X,X,X,X,X,X,X,X,X,X,7
110,IND,Rockaway,Howard Beach,A,X,X,X,X,X,X,X,X,X,X,A
114,IRT,Dyre Av,Eastchester-Dyre Av,5,X,X,X,X,X,X,X,X,X,X,5
115,IND,Queens Boulevard,Kew Gardens-Union Turnpike,E,F,X,X,X,X,X,X,X,X,X,"E,F"
123,IND,Liberty,111th St-Greenwood Av,A,X,X,X,X,X,X,X,X,X,X,A
127,IRT,Pelham,Buhre Av,6,X,X,X,X,X,X,X,X,X,X,6
130,IND,Rockaway,Aqueduct-North Conduit Av,A,X,X,X,X,X,X,X,X,X,X,A
132,IND,Rockaway,Rockaway Park-Beach 116th,H,X,X,X,X,X,X,X,X,X,X,H
133,IND,Rockaway,Aqueduct Racetrack,A,X,X,X,X,X,X,X,X,X,X,A
134,IRT,Pelham,Middletown Rd,6,X,X,X,X,X,X,X,X,X,X,6
136,BMT,Broadway Jamaica,111th St,J,X,X,X,X,X,X,X,X,X,X,J
138,IND,Queens Boulevard,75th Av,E,F,X,X,X,X,X,X,X,X,X,"E,F"
141,IND,Liberty,104th St-Oxford Av,A,X,X,X,X,X,X,X,X,X,X,A
143,IRT,Dyre Av,Baychester Av,5,X,X,X,X,X,X,X,X,X,X,5
145,IRT,Pelham,Westchester Square-East Tremont Av,6,X,X,X,X,X,X,X,X,X,X,6
146,IND,Liberty,Rockaway Blvd,A,X,X,X,X,X,X,X,X,X,X,A
150,BMT,Broadway Jamaica,104th St-102nd St,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
152,IND,Queens Boulevard,Forest Hills-71st Av,E,F,M,R,X,X,X,X,X,X,X,"E,F,M,R"
155,IND,Queens Boulevard,Forest Hills-71st Av,e,F,M,R,X,X,X,X,X,X,X,"e,F,M,R"
157,IRT,Flushing,Mets - Willets Point,7,X,X,X,X,X,X,X,X,X,X,7
161,IRT,Dyre Av,Gun Hill Rd,5,X,X,X,X,X,X,X,X,X,X,5
163,IRT,Pelham,Zerega Av,6,X,X,X,X,X,X,X,X,X,X,6
165,IRT,White Plains Road,Wakefield-241st St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
168,IRT,Pelham,Castle Hill Av,6,X,X,X,X,X,X,X,X,X,X,6
170,IND,Liberty,88th St-Boyd Av,A,X,X,X,X,X,X,X,X,X,X,A
172,BMT,Broadway Jamaica,Woodhaven Blvd,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
175,IND,Queens Boulevard,67th Av,M,R,X,X,X,X,X,X,X,X,X,"M,R"
179,IRT,White Plains Road,238th St-Nereid Av,2,5,X,X,X,X,X,X,X,X,X,"2,5"
181,IRT,Flushing,111th St,7,X,X,X,X,X,X,X,X,X,X,7
184,IRT,Dyre Av,Pelham Parkway,5,X,X,X,X,X,X,X,X,X,X,5
185,IRT,White Plains Road,233rd St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
187,IND,Liberty,80th St-Hudson St,A,X,X,X,X,X,X,X,X,X,X,A
191,BMT,Broadway Jamaica,Forest Parkway-85th St,J,X,X,X,X,X,X,X,X,X,X,J
193,IRT,White Plains Road,225th St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
196,IRT,Dyre Av,Morris Park,5,X,X,X,X,X,X,X,X,X,X,5
197,IRT,Pelham,Parkchester-East 177th St,6,X,X,X,X,X,X,X,X,X,X,6
198,IND,Queens Boulevard,63rd Drive-Rego Park,M,R,X,X,X,X,X,X,X,X,X,"M,R"
205,IRT,White Plains Road,219th St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
207,IRT,Flushing,103rd St,7,X,X,X,X,X,X,X,X,X,X,7
211,IND,Liberty,Grant Av,A,X,X,X,X,X,X,X,X,X,X,A
212,IRT,White Plains Road,Gun Hill Rd,2,5,X,X,X,X,X,X,X,X,X,"2,5"
214,BMT,Broadway Jamaica,Elderts Lane-75th St,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
216,IRT,White Plains Road,Burke Av,2,5,X,X,X,X,X,X,X,X,X,"2,5"
218,IRT,White Plains Road,Allerton Av,2,5,X,X,X,X,X,X,X,X,X,"2,5"
220,IRT,White Plains Road,Pelham Parkway,2,5,X,X,X,X,X,X,X,X,X,"2,5"
225,IRT,Pelham,St Lawrence Av,6,X,X,X,X,X,X,X,X,X,X,6
227,IRT,White Plains Road,Bronx Park East,2,5,X,X,X,X,X,X,X,X,X,"2,5"
230,IND,Queens Boulevard,Woodhaven Blvd,M,R,X,X,X,X,X,X,X,X,X,"M,R"
234,IRT,Flushing,Junction Blvd,7,X,X,X,X,X,X,X,X,X,X,7
239,IND,Fulton,Euclid Av,A,C,X,X,X,X,X,X,X,X,X,"A,C"
244,BMT,Broadway Jamaica,Cypress Hills,J,X,X,X,X,X,X,X,X,X,X,J
247,IRT,White Plains Road,East 180th St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
249,BMT,Broadway Jamaica,Crescent St,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
251,IRT,Pelham,Morrison Av-Soundview Av,6,X,X,X,X,X,X,X,X,X,X,6
254,IRT,Flushing,90th St Elmhurst,7,X,X,X,X,X,X,X,X,X,X,7
257,IND,Queens Boulevard,Grand Av-Newtown,M,R,X,X,X,X,X,X,X,X,X,"M,R"
262,IRT,Jerome,Woodlawn,4,X,X,X,X,X,X,X,X,X,X,4
264,IND,Concourse,Norwood-205th St,D,X,X,X,X,X,X,X,X,X,X,D
268,IRT,Pelham,Elder Av,6,X,X,X,X,X,X,X,X,X,X,6
270,BMT,Broadway Jamaica,Norwood Av,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
272,IRT,White Plains Road,East Tremont Av-West Farms Sq,2,5,X,X,X,X,X,X,X,X,X,"2,5"
277,IND,Fulton,Shepherd Av,A,C,X,X,X,X,X,X,X,X,X,"A,C"
281,IND,Queens Boulevard,Elmhurst Av,M,R,X,X,X,X,X,X,X,X,X,"M,R"
286,IRT,Flushing,82nd St-Jackson Heights,7,X,X,X,X,X,X,X,X,X,X,7
289,IRT,New Lots,New Lots Av,3,X,X,X,X,X,X,X,X,X,X,3
291,BMT,Broadway Jamaica,Cleveland St,J,X,X,X,X,X,X,X,X,X,X,J
293,IRT,Jerome,Mosholu Parkway,4,X,X,X,X,X,X,X,X,X,X,4
297,IRT,Pelham,Whitlock Av,6,X,X,X,X,X,X,X,X,X,X,6
299,IND,Concourse,Bedford Park Blvd,B,D,X,X,X,X,X,X,X,X,X,"B,D"
304,IRT,White Plains Road,174th St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
308,IRT,New Lots,Van Siclen Av,3,X,X,X,X,X,X,X,X,X,X,3
310,BMT,Myrtle,Metropolitan Av,M,X,X,X,X,X,X,X,X,X,X,M
311,IRT,Jerome,Bedford Park Blvd-Lehman College,4,X,X,X,X,X,X,X,X,X,X,4
312,IND,Fulton,Van Siclen Av,A,C,X,X,X,X,X,X,X,X,X,"A,C"
316,IRT,Pelham,Hunts Point Av,6,X,X,X,X,X,X,X,X,X,X,6
319,IND,Queens Boulevard,Jackson Heights-Roosevelt Ave,E,F,M,R,7,X,X,X,X,X,X,"E,F,M,R,7"
326,IRT,Flushing,Broadway-74th St,E,F,M,R,7,X,X,X,X,X,X,"E,F,M,R,7"
327,BMT,Broadway Jamaica,Van Siclen Av,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
329,IRT,White Plains Road,Freeman St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
